pin,status,claim_class,from_verdict,from_rule,to_verdict,to_rule,verdict_changed,causing_events
24-36-403-015-0000,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,name-variant:SOUTH SUB LAND BK=client-alias
25-29-305-050-0000,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,name-variant:COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY=not-client
25-29-317-053-0000,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,name-variant:COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY=not-client
25-29-318-045-0000,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,name-variant:COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY=not-client
25-29-328-040-0000,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,name-variant:COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY=not-client
25-29-404-063-0000,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,name-variant:COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY=not-client
25-29-406-008-0000,Secured Inventory - Active,HELD,AMBIGUOUS,H2+NEAR-MISS,SUPPORTED,H2,True,name-variant:C.C. LAND BANK AUTH. DO NOT USE(NO PINS)=not-client; name-variant:COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY=not-client
25-29-408-036-0000,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,name-variant:COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY=not-client
25-29-410-042-0000,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,name-variant:COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY=not-client
25-29-410-050-0000,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,name-variant:COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY=not-client
25-29-411-049-0000,Sold,DISPOSED,AMBIGUOUS,D5+NEAR-MISS,AMBIGUOUS,D5,False,name-variant:COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY=not-client
25-30-403-021-0000,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,name-variant:COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY=not-client
25-30-417-050-0000,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,name-variant:COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY=not-client
25-32-104-059-0000,Sold,DISPOSED,AMBIGUOUS,D5+NEAR-MISS,AMBIGUOUS,D5,False,name-variant:COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY=not-client
25-32-115-051-0000,Secured Inventory - Active,HELD,AMBIGUOUS,H2+NEAR-MISS,SUPPORTED,H2,True,name-variant:COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY=not-client
25-32-217-053-0000,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,name-variant:COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY=not-client
28-10-416-045-1003,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,name-variant:SOUTH SUBN LAND BK & DEV AUTH=client-alias
28-36-221-028-0000,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,name-variant:SOUTH SUBN LAND BK & DEV AUTH=client-alias
29-16-307-019-0000,Demolition Phase,HELD,AMBIGUOUS,H2+NEAR-MISS,SUPPORTED,H2,True,name-variant:C.C. LAND BANK AUTH. DO NOT USE(NO PINS)=not-client; name-variant:COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY=not-client
30-17-204-033-0000,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,name-variant:C.C. LAND BANK AUTH. DO NOT USE(NO PINS)=not-client
31-27-310-003-0000,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,name-variant:SOUTH SUB LAND BK=client-alias
31-36-107-006-0000,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,"name-variant:LAND BANK AND DEVELOPMENT AUTHORITY, AN ILLINOIS INTERGOVERNMENTAL AGENCY=client-alias"
32-20-107-010-0000,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,name-variant:SOUTH SUB LAND BK=client-alias
32-25-420-029-0000,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,name-variant:SOUTH SUBN LAND BK & DEV AUTH=client-alias
32-32-429-008-0000,Sold,DISPOSED,AMBIGUOUS,D1+NEAR-MISS,SUPPORTED,D1,True,name-variant:SO SUB LAND BANK=client-alias
