pin,status,claim_class,from_verdict,from_rule,to_verdict,to_rule,verdict_changed,cause,causing_events,recorder_banner
25-29-328-042-0000,Sold,DISPOSED,UNSUPPORTED_NO_RECORD,D4,AMBIGUOUS,D5,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
25-29-406-008-0000,Secured Inventory - Active,HELD,SUPPORTED,H2,SUPPORTED,H1,False,both,name-variant:C.C. LAND BANK AUTH. DO NOT USE(NO PINS)=not-client; name-variant:COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY=not-client; name-variant:SO SUB LAND/BK/DEV=client-alias,
25-32-115-051-0000,Secured Inventory - Active,HELD,SUPPORTED,H2,SUPPORTED,H1,False,both,name-variant:COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY=not-client; name-variant:SO SUB LAND/BK/DEV=client-alias,
28-01-303-027-0000,Sold,DISPOSED,CONTRADICTED,D3,AMBIGUOUS,D5,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
28-10-119-025-0000,Demolition Phase,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
28-10-400-051-0000,Listed,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
28-10-400-053-0000,Listed,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
28-11-302-020-0000,Sold,DISPOSED,CONTRADICTED,D3,AMBIGUOUS,D5,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
28-11-302-032-0000,Sold,DISPOSED,CONTRADICTED,D3,AMBIGUOUS,D5,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
28-11-302-033-0000,Sold,DISPOSED,UNSUPPORTED_NO_RECORD,D-nodate,AMBIGUOUS,D-nodate,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
28-16-418-001-0000,Sold,DISPOSED,UNSUPPORTED_NO_RECORD,D4,AMBIGUOUS,D5,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
28-16-419-001-0000,Sold,DISPOSED,CONTRADICTED,D3,AMBIGUOUS,D5,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
28-30-204-061-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
28-31-103-026-1028,Secured Inventory - Active,HELD,SUPPORTED,H2,SUPPORTED,H1,False,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
28-32-300-031-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
29-10-203-024-0000,Secured Inventory - Active,HELD,SUPPORTED,H2,SUPPORTED,H1,False,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
29-15-200-041-0000,Sold,DISPOSED,UNSUPPORTED_NO_RECORD,D-nodate,AMBIGUOUS,D-nodate,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
29-16-109-005-0000,Secured Inventory - Active,HELD,SUPPORTED,H2,SUPPORTED,H1,False,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
29-16-307-019-0000,Demolition Phase,HELD,SUPPORTED,H2,SUPPORTED,H1,False,both,name-variant:C.C. LAND BANK AUTH. DO NOT USE(NO PINS)=not-client; name-variant:COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY=not-client; name-variant:SO SUB LAND/BK/DEV=client-alias,
29-30-123-019-0000,Sold,DISPOSED,UNSUPPORTED_NO_RECORD,D4,AMBIGUOUS,D5,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
29-30-123-020-0000,Associated Parcel - Sold,DISPOSED,UNSUPPORTED_NO_RECORD,D-nodate,AMBIGUOUS,D-nodate,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
29-30-127-028-0000,Sold,DISPOSED,CONTRADICTED,D3,AMBIGUOUS,D5,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
29-30-131-036-0000,Sold,DISPOSED,CONTRADICTED,D3,AMBIGUOUS,D5,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
29-30-200-029-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
29-30-226-022-0000,Sold,DISPOSED,CONTRADICTED,D3,AMBIGUOUS,D5,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
30-17-113-007-0000,Sold,DISPOSED,CONTRADICTED,D3,AMBIGUOUS,D5,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
30-17-113-008-0000,Sold,DISPOSED,CONTRADICTED,D3,AMBIGUOUS,D5,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
30-17-202-025-0000,Sold,DISPOSED,CONTRADICTED,D3,AMBIGUOUS,D5,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
30-17-213-007-0000,Listed,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-13-106-023-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-13-106-024-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-13-106-025-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-13-106-026-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-13-106-027-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-14-407-006-0000,Secured Inventory - Active,HELD,AMBIGUOUS,H5,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-14-409-007-0000,Secured Inventory - Active,HELD,SUPPORTED,H2,SUPPORTED,H1,False,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-23-105-016-0000,Under Contract,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-25-305-036-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-26-300-061-0000,Sold,DISPOSED,CONTRADICTED,D3,AMBIGUOUS,D5,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-103-002-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-103-005-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-103-006-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-103-007-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-103-008-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-103-010-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-103-012-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-103-014-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-103-016-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-103-018-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-103-020-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-103-021-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-103-023-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-103-024-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-103-025-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
