pin,status,claim_class,claim_date,verdict,reason,rule,citation_count,first_citation,near_miss_strings,tax_sale_rows,scavenger_rows
18-12-417-021-0000,Sold,DISPOSED,2018-08-24,SUPPORTED,,D1,1,wvhk-k5uv 1824017020 2018-08-24 SOUTH SUBURBAN LAND BANK -> FORAN FUNDERAL HOME LLC,,0,0
21-14-01-116-015-0000,In House Renovation Phase,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
21-14-02-208-011-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,pin-format,,0,,,0,0
21-14-02-210-010-0000,Sold,DISPOSED,2024-02-05,NOT_CHECKABLE,pin-format,,0,,,0,0
21-14-02-214-008-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,pin-format,,0,,,0,0
21-14-02-219-001-0000,Sold,DISPOSED,2019-09-30,NOT_CHECKABLE,pin-format,,0,,,0,0
21-14-13-102-007-0000,Sold,DISPOSED,2018-07-20,NOT_CHECKABLE,pin-format,,0,,,0,0
23-15-03-300-003-0000,Sold,DISPOSED,2021-06-07,NOT_CHECKABLE,pin-format,,0,,,0,0
23-15-03-413-019-0000,Sold,DISPOSED,2021-03-01,NOT_CHECKABLE,pin-format,,0,,,0,0
23-15-05-113-046-0000,Sold,DISPOSED,2017-01-01,NOT_CHECKABLE,pin-format,,0,,,0,0
24-25-201-080-0000,Sold,DISPOSED,2021-10-01,SUPPORTED,,D1,1,"wvhk-k5uv 2129133050 2021-10-01 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> OLDE NEW RENOVATIONS, CORP.",,4,1
24-36-403-015-0000,Sold,DISPOSED,2019-08-16,AMBIGUOUS,,D1+NEAR-MISS,1,wvhk-k5uv 1922006185 2019-08-01 SOUTH SUBURBAN LAND BANK -> CITY OF BLUE ISLAND,SOUTH SUB LAND BK,0,0
24-36-408-008-0000,Sold,DISPOSED,2022-01-26,SUPPORTED,,D1,1,wvhk-k5uv 2205934038 2022-01-05 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> OLDE NEW RENOVATIONS CORP.,,4,0
24-36-432-027-0000,Sold,DISPOSED,2022-01-23,SUPPORTED,,D1,1,wvhk-k5uv 2204133057 2021-11-29 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> TM1 CONSTRUCTION INC.,,0,0
